价格,种族,Lv,Name,种族,Lv,Name,Result
11325.0,愚者,1,亚森,愚者,26,俄耳普斯,背负怪
11514.0,愚者,16,高等皮克希,愚者,20,伊邪那岐,背负怪
12801.0,愚者,16,高等皮克希,愚者,23,伊邪那岐·贼神,背负怪
12936.0,愚者,1,亚森,愚者,29,俄耳普斯·贼神,背负怪
4653.0,恶魔,5,男梦魔,魔术师,2,杰克灯笼,比利士
4881.0,死神,3,曼陀罗,力量,6,凯尔皮,比利士
4884.0,节制,7,玄武,愚者,1,亚森,比利士
4968.0,恶魔,5,男梦魔,魔术师,5,猫妖精,比利士
4986.0,力量,6,凯尔皮,隐者,4,双角兽,比利士
5040.0,月,7,女梦魔,死神,3,曼陀罗,比利士
5109.0,战车,3,阿珈席翁,女教皇,6,希路奇,比利士
5409.0,月,7,女梦魔,女教皇,6,希路奇,比利士
5700.0,节制,11,木叶天狗,愚者,1,亚森,比利士
5745.0,节制,7,玄武,愚者,8,背负怪,比利士
5781.0,力量,6,凯尔皮,隐者,9,克鲁波克鲁,比利士
5781.0,死神,9,恶灵,力量,6,凯尔皮,比利士
5940.0,月,7,女梦魔,死神,9,恶灵,比利士
5949.0,顾问官,12,奇魂,愚者,1,亚森,比利士
5994.0,战车,10,软泥怪,女教皇,6,希路奇,比利士
6084.0,战车,3,阿珈席翁,女教皇,11,飞天,比利士
6084.0,恶魔,5,男梦魔,魔术师,11,杰克霜精,比利士
6105.0,月,12,阴魔罗鬼,死神,3,曼陀罗,比利士
6804.0,节制,15,真神,愚者,1,亚森,比利士
14088.0,教皇,17,欧若博司,教皇,25,安祖,比利士
584.0,魔术师,5,猫妖精,愚者,1,亚森,恶灵
4725.0,力量,6,凯尔皮,愚者,1,亚森,恶灵
4794.0,力量,6,凯尔皮,恋人,2,皮克希,恶灵
5109.0,恶魔,5,男梦魔,力量,6,凯尔皮,恶灵
5130.0,魔术师,2,杰克灯笼,愚者,8,背负怪,恶灵
5250.0,力量,6,凯尔皮,恋人,6,幸魂,恶灵
5325.0,教皇,9,比利士,魔术师,2,杰克灯笼,恶灵
5445.0,魔术师,5,猫妖精,愚者,8,背负怪,恶灵
5586.0,力量,6,凯尔皮,愚者,8,背负怪,恶灵
5640.0,教皇,9,比利士,魔术师,5,猫妖精,恶灵
5700.0,魔术师,11,杰克霜精,愚者,1,亚森,恶灵
5781.0,正义,9,天使,女教皇,6,希路奇,恶灵
5781.0,倒悬者,9,花魄,女教皇,6,希路奇,恶灵
5940.0,节制,7,玄武,教皇,9,比利士,恶灵
5940.0,节制,7,玄武,倒悬者,9,花魄,恶灵
6804.0,力量,15,狮爷,愚者,1,亚森,恶灵
6873.0,力量,15,狮爷,恋人,2,皮克希,恶灵
7620.0,死神,3,曼陀罗,死神,17,斗牛士,恶灵
8745.0,死神,3,曼陀罗,死神,20,奴延,恶灵
11853.0,死神,17,斗牛士,死神,20,奴延,恶灵
12537.0,死神,3,曼陀罗,死神,28,毕舍遮,恶灵
4884.0,月,7,女梦魔,愚者,1,亚森,天使
5745.0,月,7,女梦魔,愚者,8,背负怪,天使
5949.0,月,12,阴魔罗鬼,愚者,1,亚森,天使
7125.0,月,16,辉夜,愚者,1,亚森,天使
7125.0,太阳,16,朱雀,愚者,1,亚森,天使
15237.0,正义,14,大天使,正义,29,权天使,天使
23301.0,正义,14,大天使,正义,41,能天使,天使
4740.0,死神,3,曼陀罗,魔术师,5,猫妖精,克鲁波克鲁
5109.0,力量,6,凯尔皮,战车,3,阿珈席翁,克鲁波克鲁
5256.0,教皇,9,比利士,愚者,1,亚森,克鲁波克鲁
5325.0,死神,9,恶灵,魔术师,2,杰克灯笼,克鲁波克鲁
5640.0,死神,9,恶灵,魔术师,5,猫妖精,克鲁波克鲁
5856.0,死神,3,曼陀罗,魔术师,11,杰克霜精,克鲁波克鲁
5994.0,力量,6,凯尔皮,战车,10,软泥怪,克鲁波克鲁
6117.0,教皇,9,比利士,愚者,8,背负怪,克鲁波克鲁
6225.0,星星,11,木灵,女教皇,6,希路奇,克鲁波克鲁
7725.0,隐者,4,双角兽,隐者,17,山灵,克鲁波克鲁
9480.0,隐者,13,一本踏鞴,隐者,17,山灵,克鲁波克鲁
5040.0,节制,7,玄武,死神,3,曼陀罗,花魄
5640.0,恶魔,5,男梦魔,教皇,9,比利士,花魄
5856.0,节制,11,木叶天狗,死神,3,曼陀罗,花魄
5940.0,节制,7,玄武,死神,9,恶灵,花魄
11301.0,倒悬者,14,犬神,倒悬者,21,欧特鲁斯,花魄
13626.0,倒悬者,14,犬神,倒悬者,26,建御名方,花魄
4530.0,隐者,4,双角兽,恋人,2,皮克希,软泥怪
4725.0,恋人,6,幸魂,愚者,1,亚森,软泥怪
4740.0,恶魔,5,男梦魔,死神,3,曼陀罗,软泥怪
4953.0,节制,7,玄武,魔术师,2,杰克灯笼,软泥怪
4986.0,隐者,4,双角兽,恋人,6,幸魂,软泥怪
5130.0,恋人,2,皮克希,愚者,8,背负怪,软泥怪
5268.0,节制,7,玄武,魔术师,5,猫妖精,软泥怪
5268.0,月,7,女梦魔,恶魔,5,男梦魔,软泥怪
5325.0,隐者,9,克鲁波克鲁,恋人,2,皮克希,软泥怪
5409.0,节制,7,玄武,力量,6,凯尔皮,软泥怪
5412.0,死神,3,曼陀罗,教皇,9,比利士,软泥怪
5586.0,恋人,6,幸魂,愚者,8,背负怪,软泥怪
5640.0,恶魔,5,男梦魔,死神,9,恶灵,软泥怪
5769.0,节制,11,木叶天狗,魔术师,2,杰克灯笼,软泥怪
5781.0,隐者,9,克鲁波克鲁,恋人,6,幸魂,软泥怪
6084.0,节制,11,木叶天狗,魔术师,5,猫妖精,软泥怪
6216.0,恋人,13,天钿女命,愚者,1,亚森,软泥怪
6225.0,节制,11,木叶天狗,力量,6,凯尔皮,软泥怪
6285.0,隐者,13,一本踏鞴,恋人,2,皮克希,软泥怪
6312.0,死神,9,恶灵,教皇,9,比利士,软泥怪
6333.0,月,12,阴魔罗鬼,恶魔,5,男梦魔,软泥怪
6333.0,顾问官,12,奇魂,恶魔,5,男梦魔,软泥怪
6384.0,节制,7,玄武,魔术师,11,杰克霜精,软泥怪
6477.0,隐者,4,双角兽,恋人,13,天钿女命,软泥怪
6741.0,隐者,13,一本踏鞴,恋人,6,幸魂,软泥怪
6873.0,节制,15,真神,魔术师,2,杰克灯笼,软泥怪
7194.0,恋人,2,皮克希,愚者,16,高等皮克希,软泥怪
7533.0,隐者,17,山灵,恋人,2,皮克希,软泥怪
8205.0,战车,3,阿珈席翁,战车,18,式王子,软泥怪
11208.0,战车,3,阿珈席翁,战车,25,金鬼,软泥怪
13893.0,战车,3,阿珈席翁,战车,30,荒魂,软泥怪
14445.0,战车,18,式王子,战车,25,金鬼,软泥怪
17130.0,战车,18,式王子,战车,30,荒魂,软泥怪
5256.0,正义,9,天使,愚者,1,亚森,木灵
5517.0,倒悬者,9,花魄,隐者,4,双角兽,木灵
5640.0,战车,3,阿珈席翁,教皇,9,比利士,木灵
6117.0,正义,9,天使,愚者,8,背负怪,木灵
6312.0,倒悬者,9,花魄,隐者,9,克鲁波克鲁,木灵
6501.0,正义,14,大天使,愚者,1,亚森,木灵
6525.0,战车,10,软泥怪,教皇,9,比利士,木灵
6762.0,倒悬者,14,犬神,隐者,4,双角兽,木灵
7005.0,顾问官,12,奇魂,倒悬者,9,花魄,木灵
7848.0,战车,3,阿珈席翁,教皇,17,欧若博司,木灵
19185.0,星星,23,风鬼,星星,30,猫将军,木灵
23001.0,星星,23,风鬼,星星,36,迦温,木灵
5409.0,月,7,女梦魔,恋人,6,幸魂,杰克霜精
5409.0,月,7,女梦魔,力量,6,凯尔皮,杰克霜精
5517.0,隐者,4,双角兽,正义,9,天使,杰克霜精
5700.0,星星,11,木灵,愚者,1,亚森,杰克霜精
5781.0,教皇,9,比利士,女教皇,6,希路奇,杰克霜精
5781.0,死神,9,恶灵,女教皇,6,希路奇,杰克霜精
5856.0,死神,3,曼陀罗,女教皇,11,飞天,杰克霜精
6018.0,月,12,阴魔罗鬼,恋人,2,皮克希,杰克霜精
6105.0,顾问官,12,奇魂,死神,3,曼陀罗,杰克霜精
6312.0,隐者,9,克鲁波克鲁,正义,9,天使,杰克霜精
6474.0,月,12,阴魔罗鬼,恋人,6,幸魂,杰克霜精
6474.0,月,12,阴魔罗鬼,力量,6,凯尔皮,杰克霜精
6561.0,星星,11,木灵,愚者,8,背负怪,杰克霜精
6756.0,教皇,9,比利士,女教皇,11,飞天,杰克霜精
6756.0,死神,9,恶灵,女教皇,11,飞天,杰克霜精
6762.0,隐者,4,双角兽,正义,14,大天使,杰克霜精
6900.0,月,7,女梦魔,恋人,13,天钿女命,杰克霜精
7005.0,顾问官,12,奇魂,死神,9,恶灵,杰克霜精
7194.0,月,16,辉夜,恋人,2,皮克希,杰克霜精
7848.0,魔术师,5,猫妖精,魔术师,17,猫妖,杰克霜精
7890.0,月,18,黑软泥怪,恋人,2,皮克希,杰克霜精
9945.0,魔术师,2,杰克灯笼,魔术师,23,睡魔,杰克霜精
10260.0,魔术师,5,猫妖精,魔术师,23,睡魔,杰克霜精
12450.0,魔术师,2,杰克灯笼,魔术师,28,克伦佐,杰克霜精
12765.0,魔术师,5,猫妖精,魔术师,28,克伦佐,杰克霜精
13140.0,魔术师,17,猫妖,魔术师,23,睡魔,杰克霜精
15645.0,魔术师,17,猫妖,魔术师,28,克伦佐,杰克霜精
5322.0,隐者,4,双角兽,愚者,8,背负怪,飞天
5538.0,战车,10,软泥怪,魔术师,2,杰克灯笼,飞天
5640.0,恶魔,5,男梦魔,隐者,9,克鲁波克鲁,飞天
5769.0,星星,11,木灵,魔术师,2,杰克灯笼,飞天
5853.0,战车,10,软泥怪,魔术师,5,猫妖精,飞天
5940.0,月,7,女梦魔,教皇,9,比利士,飞天
5940.0,月,7,女梦魔,隐者,9,克鲁波克鲁,飞天
6084.0,战车,3,阿珈席翁,魔术师,11,杰克霜精,飞天
6084.0,星星,11,木灵,魔术师,5,猫妖精,飞天
6117.0,隐者,9,克鲁波克鲁,愚者,8,背负怪,飞天
6210.0,月,12,阴魔罗鬼,隐者,4,双角兽,飞天
6216.0,隐者,13,一本踏鞴,愚者,1,亚森,飞天
6600.0,恶魔,5,男梦魔,隐者,13,一本踏鞴,飞天
6900.0,月,7,女梦魔,隐者,13,一本踏鞴,飞天
6969.0,战车,10,软泥怪,魔术师,11,杰克霜精,飞天
7005.0,月,12,阴魔罗鬼,教皇,9,比利士,飞天
7005.0,月,12,阴魔罗鬼,隐者,9,克鲁波克鲁,飞天
7077.0,隐者,13,一本踏鞴,愚者,8,背负怪,飞天
7281.0,太阳,16,朱雀,死神,3,曼陀罗,飞天
7386.0,隐者,4,双角兽,愚者,16,高等皮克希,飞天
7386.0,月,16,辉夜,隐者,4,双角兽,飞天
7464.0,隐者,17,山灵,愚者,1,亚森,飞天
7509.0,太阳,16,朱雀,战车,3,阿珈席翁,飞天
7848.0,战车,3,阿珈席翁,魔术师,17,猫妖,飞天
7890.0,战车,18,式王子,魔术师,2,杰克灯笼,飞天
11850.0,女教皇,6,希路奇,女教皇,26,伊西丝,飞天
20754.0,女教皇,6,希路奇,女教皇,40,菊理媛,飞天
27354.0,女教皇,26,伊西丝,女教皇,40,菊理媛,飞天
35874.0,女教皇,26,伊西丝,女教皇,50,妙音天女,飞天
38781.0,女教皇,26,伊西丝,女教皇,53,丝卡蒂,飞天
5781.0,隐者,9,克鲁波克鲁,女教皇,6,希路奇,木叶天狗
5781.0,倒悬者,9,花魄,力量,6,凯尔皮,木叶天狗
5781.0,死神,9,恶灵,恋人,6,幸魂,木叶天狗
5853.0,恶魔,5,男梦魔,战车,10,软泥怪,木叶天狗
5961.0,隐者,4,双角兽,女教皇,11,飞天,木叶天狗
5994.0,战车,10,软泥怪,恋人,6,幸魂,木叶天狗
6084.0,女教皇,11,飞天,魔术师,5,猫妖精,木叶天狗
6225.0,女教皇,6,希路奇,魔术师,11,杰克霜精,木叶天狗
6372.0,死神,3,曼陀罗,恋人,13,天钿女命,木叶天狗
6384.0,月,7,女梦魔,星星,11,木灵,木叶天狗
6600.0,战车,3,阿珈席翁,恋人,13,天钿女命,木叶天狗
6633.0,顾问官,12,奇魂,月,7,女梦魔,木叶天狗
6741.0,隐者,13,一本踏鞴,女教皇,6,希路奇,木叶天狗
6756.0,隐者,9,克鲁波克鲁,女教皇,11,飞天,木叶天狗
7026.0,倒悬者,14,犬神,力量,6,凯尔皮,木叶天狗
7125.0,皇帝,16,埃力格,愚者,1,亚森,木叶天狗
7488.0,节制,7,玄武,节制,15,真神,木叶天狗
7509.0,恶魔,5,男梦魔,愚者,16,高等皮克希,木叶天狗
7533.0,死神,17,斗牛士,恋人,2,皮克希,木叶天狗
7890.0,战车,18,式王子,恋人,2,皮克希,木叶天狗
8196.0,恶魔,19,佛劳洛斯,愚者,1,亚森,木叶天狗
10113.0,节制,7,玄武,节制,22,持国天,木叶天狗
12033.0,节制,15,真神,节制,22,持国天,木叶天狗
5325.0,倒悬者,9,花魄,恋人,2,皮克希,奇魂
5517.0,隐者,4,双角兽,教皇,9,比利士,奇魂
5568.0,月,7,女梦魔,节制,7,玄武,奇魂
5781.0,力量,6,凯尔皮,正义,9,天使,奇魂
5781.0,倒悬者,9,花魄,恋人,6,幸魂,奇魂
5856.0,星星,11,木灵,死神,3,曼陀罗,奇魂
5940.0,月,7,女梦魔,倒悬者,9,花魄,奇魂
6312.0,隐者,9,克鲁波克鲁,教皇,9,比利士,奇魂
6384.0,月,7,女梦魔,节制,11,木叶天狗,奇魂
6570.0,倒悬者,14,犬神,恋人,2,皮克希,奇魂
6633.0,月,12,阴魔罗鬼,节制,7,玄武,奇魂
6756.0,星星,11,木灵,死神,9,恶灵,奇魂
7005.0,月,12,阴魔罗鬼,倒悬者,9,花魄,奇魂
7026.0,力量,6,凯尔皮,正义,14,大天使,奇魂
7026.0,倒悬者,14,犬神,恋人,6,幸魂,奇魂
7185.0,月,7,女梦魔,倒悬者,14,犬神,奇魂
7272.0,隐者,13,一本踏鞴,教皇,9,比利士,奇魂
7272.0,倒悬者,9,花魄,恋人,13,天钿女命,奇魂
7449.0,月,12,阴魔罗鬼,节制,11,木叶天狗,奇魂
7488.0,月,7,女梦魔,节制,15,真神,奇魂
7725.0,隐者,4,双角兽,教皇,17,欧若博司,奇魂
7809.0,月,16,辉夜,节制,7,玄武,奇魂
9000.0,信念,21,凤凰,愚者,1,亚森,奇魂
9069.0,倒悬者,21,欧特鲁斯,恋人,2,皮克希,奇魂
19938.0,顾问官,22,和魂,顾问官,32,单卡拉比,奇魂
5586.0,女教皇,6,希路奇,愚者,8,背负怪,阴魔罗鬼
6018.0,顾问官,12,奇魂,魔术师,2,杰克灯笼,阴魔罗鬼
6084.0,恶魔,5,男梦魔,女教皇,11,飞天,阴魔罗鬼
6084.0,星星,11,木灵,战车,3,阿珈席翁,阴魔罗鬼
6225.0,星星,11,木灵,力量,6,凯尔皮,阴魔罗鬼
6312.0,死神,9,恶灵,倒悬者,9,花魄,阴魔罗鬼
6330.0,战车,10,软泥怪,愚者,8,背负怪,阴魔罗鬼
6333.0,顾问官,12,奇魂,魔术师,5,猫妖精,阴魔罗鬼
6525.0,正义,9,天使,战车,10,软泥怪,阴魔罗鬼
6561.0,女教皇,11,飞天,愚者,8,背负怪,阴魔罗鬼
6600.0,恶魔,5,男梦魔,恋人,13,天钿女命,阴魔罗鬼
6657.0,死神,3,曼陀罗,倒悬者,14,犬神,阴魔罗鬼
6885.0,正义,14,大天使,战车,3,阿珈席翁,阴魔罗鬼
6969.0,星星,11,木灵,战车,10,软泥怪,阴魔罗鬼
7449.0,顾问官,12,奇魂,魔术师,11,杰克霜精,阴魔罗鬼
7509.0,战车,3,阿珈席翁,愚者,16,高等皮克希,阴魔罗鬼
7557.0,死神,9,恶灵,倒悬者,14,犬神,阴魔罗鬼
7650.0,女教皇,6,希路奇,愚者,16,高等皮克希,阴魔罗鬼
7650.0,太阳,16,朱雀,力量,6,凯尔皮,阴魔罗鬼
7821.0,战车,18,式王子,愚者,1,亚森,阴魔罗鬼
8265.0,恶魔,19,佛劳洛斯,恋人,2,皮克希,阴魔罗鬼
8505.0,月,7,女梦魔,月,18,黑软泥怪,阴魔罗鬼
8973.0,战车,3,阿珈席翁,愚者,20,伊邪那岐,阴魔罗鬼
10746.0,月,16,辉夜,月,18,黑软泥怪,阴魔罗鬼
11025.0,月,7,女梦魔,月,24,水鬼,阴魔罗鬼
5268.0,月,7,女梦魔,魔术师,5,猫妖精,天钿女命
5640.0,隐者,9,克鲁波克鲁,魔术师,5,猫妖精,天钿女命
5961.0,隐者,4,双角兽,魔术师,11,杰克霜精,天钿女命
6018.0,月,12,阴魔罗鬼,魔术师,2,杰克灯笼,天钿女命
6153.0,月,7,女梦魔,战车,10,软泥怪,天钿女命
6285.0,隐者,13,一本踏鞴,魔术师,2,杰克灯笼,天钿女命
6312.0,倒悬者,9,花魄,正义,9,天使,天钿女命
6333.0,月,12,阴魔罗鬼,魔术师,5,猫妖精,天钿女命
6333.0,月,12,阴魔罗鬼,战车,3,阿珈席翁,天钿女命
6384.0,月,7,女梦魔,魔术师,11,杰克霜精,天钿女命
6600.0,隐者,13,一本踏鞴,魔术师,5,猫妖精,天钿女命
6756.0,隐者,9,克鲁波克鲁,魔术师,11,杰克霜精,天钿女命
7194.0,月,16,辉夜,魔术师,2,杰克灯笼,天钿女命
7218.0,月,12,阴魔罗鬼,战车,10,软泥怪,天钿女命
7449.0,月,12,阴魔罗鬼,魔术师,11,杰克霜精,天钿女命
7509.0,月,16,辉夜,魔术师,5,猫妖精,天钿女命
7509.0,月,16,辉夜,战车,3,阿珈席翁,天钿女命
7533.0,隐者,17,山灵,魔术师,2,杰克灯笼,天钿女命
7557.0,倒悬者,9,花魄,正义,14,大天使,天钿女命
7557.0,倒悬者,14,犬神,正义,9,天使,天钿女命
7716.0,隐者,13,一本踏鞴,魔术师,11,杰克霜精,天钿女命
7725.0,隐者,4,双角兽,魔术师,17,猫妖,天钿女命
7848.0,隐者,17,山灵,魔术师,5,猫妖精,天钿女命
7890.0,月,18,黑软泥怪,魔术师,2,杰克灯笼,天钿女命
8148.0,月,7,女梦魔,魔术师,17,猫妖,天钿女命
8181.0,太阳,16,朱雀,教皇,9,比利士,天钿女命
8205.0,月,18,黑软泥怪,魔术师,5,猫妖精,天钿女命
8205.0,月,18,黑软泥怪,战车,3,阿珈席翁,天钿女命
8505.0,月,7,女梦魔,战车,18,式王子,天钿女命
9384.0,信念,21,凤凰,战车,3,阿珈席翁,天钿女命
25785.0,恋人,19,拉南希,恋人,42,奇稻田姬,天钿女命
30897.0,恋人,19,拉南希,恋人,48,纳西瑟斯,天钿女命
38721.0,恋人,19,拉南希,恋人,56,帕尔瓦蒂,天钿女命
6756.0,死神,9,恶灵,魔术师,11,杰克霜精,一本踏鞴
7188.0,力量,15,狮爷,战车,3,阿珈席翁,一本踏鞴
7200.0,星星,11,木灵,女教皇,11,飞天,一本踏鞴
7281.0,死神,3,曼陀罗,皇帝,16,埃力格,一本踏鞴
7464.0,教皇,17,欧若博司,愚者,1,亚森,一本踏鞴
7509.0,太阳,16,朱雀,恶魔,5,男梦魔,一本踏鞴
7533.0,死神,17,斗牛士,魔术师,2,杰克灯笼,一本踏鞴
7620.0,死神,3,曼陀罗,魔术师,17,猫妖,一本踏鞴
7848.0,死神,17,斗牛士,魔术师,5,猫妖精,一本踏鞴
8073.0,力量,15,狮爷,战车,10,软泥怪,一本踏鞴
8181.0,教皇,9,比利士,愚者,16,高等皮克希,一本踏鞴
8181.0,死神,9,恶灵,皇帝,16,埃力格,一本踏鞴
8325.0,教皇,17,欧若博司,愚者,8,背负怪,一本踏鞴
8346.0,力量,6,凯尔皮,战车,18,式王子,一本踏鞴
8520.0,隐者,9,克鲁波克鲁,隐者,17,山灵,一本踏鞴
8658.0,死神,20,奴延,魔术师,2,杰克灯笼,一本踏鞴
8973.0,力量,20,鬼,战车,3,阿珈席翁,一本踏鞴
8973.0,死神,20,奴延,魔术师,5,猫妖精,一本踏鞴
10602.0,隐者,4,双角兽,隐者,24,那伽,一本踏鞴
11397.0,隐者,9,克鲁波克鲁,隐者,24,那伽,一本踏鞴
13605.0,隐者,17,山灵,隐者,24,那伽,一本踏鞴
6756.0,星星,11,木灵,倒悬者,9,花魄,大天使
6810.0,月,12,阴魔罗鬼,愚者,8,背负怪,大天使
7005.0,顾问官,12,奇魂,教皇,9,比利士,大天使
7509.0,恶魔,5,男梦魔,皇帝,16,埃力格,大天使
7809.0,月,7,女梦魔,愚者,16,高等皮克希,大天使
7821.0,月,18,黑软泥怪,愚者,1,亚森,大天使
7986.0,月,16,辉夜,愚者,8,背负怪,大天使
7986.0,太阳,16,朱雀,愚者,8,背负怪,大天使
8001.0,星星,11,木灵,倒悬者,14,犬神,大天使
8658.0,女皇,20,母夜叉,魔术师,2,杰克灯笼,大天使
8682.0,月,18,黑软泥怪,愚者,8,背负怪,大天使
8973.0,女皇,20,母夜叉,魔术师,5,猫妖精,大天使
9273.0,月,7,女梦魔,愚者,20,伊邪那岐,大天使
9525.0,信念,21,凤凰,女教皇,6,希路奇,大天使
10341.0,月,24,水鬼,愚者,1,亚森,大天使
10824.0,月,25,辉夜·贼神,愚者,1,亚森,大天使
13992.0,正义,9,天使,正义,29,权天使,大天使
22056.0,正义,9,天使,正义,41,能天使,大天使
29736.0,正义,29,权天使,正义,41,能天使,大天使
6312.0,正义,9,天使,教皇,9,比利士,犬神
